CSICode,Eco,Notes,Description,Unit,Crew,Daily Output,Labor Hours,Bare Material,Bare Labor,Bare Equipment,Bare Total,Total O&P,Hourly Oper. Cost,Rent Per Day,Rent Per Week,Rent Per Month,COV
032111601160,,,"Reinforcing steel, in place, over 100 ton job, #8 to #18, deduct",,,,,15.00%,,,,,,,,,0.3
032111602000,,,"Reinforcing steel, unload and sort, add to base",Ton,C5,100.00,0.480,,16.91,8.25,25.16,37.13,,,,,0.3
032211100500,,,4 x 4 - W1.4 x W1.4 (10 x 10) 31 lb./C.S.F.,C.S.F.,2 Rodm,31,0.516,29.4,26.62,,56.02,72.01,,,,,0.3
033053403300,,,"Structural concrete, in place, elevated slab, floor fill, lightweight, 110 lb./C.F., 2-1/2"" thick, concrete (Portland cement Type I), placing and finishing, excl forms, reinforcing",S.F.,C8,2585.00,0.022,1.34,0.91,0.47,2.72,3.35,,,,,0.3
033113250340,,,"Concrete, hand mix, for small quantities or remote areas, 4000 psi, using wheelbarrow, includes bagged pre-mixed dry ingredients (80-Lb bag = 0.6 C.F.) and water, excludes, forms, reinforcing, placing & finishing",C.F.,1 Clab,48.00,0.167,8.82,4.66,,13.48,17.41,,,,,0.3
033113350020,,,"Structural concrete, ready mix, heavyweight, 2000 psi, includes local aggregate, sand, Portland cement (Type I) and water, delivered, excludes all additives and treatments",C.Y.,,0.00,,121.99,,,121.99,134.19,,,,,0.3
033113350100,,,"Structural concrete, ready mix, heavyweight, 2500 psi, includes local aggregate, sand, Portland cement (Type I) and water, delivered, excludes all additives and treatments",C.Y.,,0.00,,125.32,,,125.32,138.63,,,,,0.3
033113350150,,,"Structural concrete, ready mix, heavyweight, 3000 psi, includes local aggregate, sand, Portland cement (Type I) and water, delivered, excludes all additives and treatments",C.Y.,,0.00,,137.52,,,137.52,150.82,,,,,0.3
033113350200,,,"Structural concrete, ready mix, heavyweight, 3500 psi, includes local aggregate, sand, Portland cement (Type I) and water, delivered, excludes all additives and treatments",C.Y.,,0.00,,138.63,,,138.63,151.93,,,,,0.3
033113350300,,,"Structural concrete, ready mix, heavyweight, 4000 psi, includes local aggregate, sand, Portland cement (Type I) and water, delivered, excludes all additives and treatments",C.Y.,,0.00,,141.95,,,141.95,156.37,,,,,0.3
033113350350,,,"Structural concrete, ready mix, heavyweight, 4500 psi, includes local aggregate, sand, Portland cement (Type I) and water, delivered, excludes all additives and treatments",C.Y.,,0.00,,146.39,,,146.39,160.81,,,,,0.3
033113350400,,,"Structural concrete, ready mix, heavyweight, 5000 psi, includes local aggregate, sand, Portland cement (Type I) and water, delivered, excludes all additives and treatments",C.Y.,,0.00,,154.15,,,154.15,169.68,,,,,0.3
033113350411,,,"Structural concrete, ready mix, heavyweight, 6000 psi, includes local aggregate, sand, Portland cement (Type I) and water, delivered, excludes all additives and treatments",C.Y.,,0.00,,158.59,,,158.59,174.11,,,,,0.3
033113350412,,,"Structural concrete, ready mix, heavyweight, 8000 psi, includes local aggregate, sand, Portland cement (Type I) and water, delivered, excludes all additives and treatments",C.Y.,,0.00,,166.35,,,166.35,184.09,,,,,0.3
033113350413,,,"Structural concrete, ready mix, heavyweight, 10000 psi, includes local aggregate, sand, Portland cement (Type I) and water, delivered, excludes all additives and treatments",C.Y.,,0.00,,175.22,,,175.22,192.97,,,,,0.3
033113350414,,,"Structural concrete, ready mix, heavyweight, 12000 psi, includes local aggregate, sand, Portland cement (Type I) and water, delivered, excludes all additives and treatments",C.Y.,,0.00,,184.09,,,184.09,201.84,,,,,0.3
033113700400,,,"Structural concrete, placing, column, square or round, pumped, 12"" thick, includes leveling (strike off) & consolidation, excludes material",C.Y.,C20,60.00,1.067,,32.31,21.27,53.58,76.48,,,,,0.3
033113700450,,,"Structural concrete, placing, column, square or round, with crane and bucket, 12"" thick, includes leveling (strike off) & consolidation, excludes material",C.Y.,C7,40.00,1.800,,54.92,37.71,92.63,131.72,,,,,0.3
033113700600,,,"Structural concrete, placing, column, square or round, pumped, 18"" thick, includes leveling (strike off) & consolidation, excludes material",C.Y.,C20,90.00,0.711,,21.69,14.16,35.85,51.12,,,,,0.3
033113700650,,,"Structural concrete, placing, column, square or round, with crane and bucket, 18"" thick, includes leveling (strike off) & consolidation, excludes material",C.Y.,C7,55.00,1.309,,40.15,27.39,67.54,95.87,,,,,0.3
033113700800,,,"Structural concrete, placing, column, square or round, pumped, 24"" thick, includes leveling (strike off) & consolidation, excludes material",C.Y.,C20,92.00,0.696,,21.23,13.87,35.10,49.91,,,,,0.3
033113700850,,,"Structural concrete, placing, column, square or round, with crane and bucket, 24"" thick, includes leveling (strike off) & consolidation, excludes material",C.Y.,C7,70.00,1.029,,31.38,21.56,52.94,75.38,,,,,0.3
033113701000,,,"Structural concrete, placing, column, square or round, pumped, 36"" thick, includes leveling (strike off) & consolidation, excludes material",C.Y.,C20,140.00,0.457,,13.80,9.11,22.91,32.64,,,,,0.3
033113701050,,,"Structural concrete, placing, column, square or round, with crane and bucket, 36"" thick, includes leveling (strike off) & consolidation, excludes material",C.Y.,C7,100.00,0.720,,22.15,15.08,37.23,52.58,,,,,0.3
033113701400,,,"Structural concrete, placing, elevated slab, pumped, less than 6"" thick, includes leveling (strike off) & consolidation, excludes material",C.Y.,C20,140.00,0.457,,13.80,9.11,22.91,32.64,,,,,0.3
033113701450,,,"Structural concrete, placing, elevated slab, with crane and bucket, less than 6"" thick, includes leveling (strike off) & consolidation, excludes material",C.Y.,C7,95.00,0.758,,23.08,15.87,38.95,55.73,,,,,0.3
033113701500,,,"Structural concrete, placing, elevated slab, pumped, 6"" to 10"" thick, includes leveling (strike off) & consolidation, excludes material",C.Y.,C20,160.00,0.400,,12.09,7.97,20.06,28.59,,,,,0.3
033113701550,,,"Structural concrete, placing, elevated slab, with crane and bucket, 6"" to 10"" thick, includes leveling (strike off) & consolidation, excludes material",C.Y.,C7,110.00,0.655,,19.84,13.73,33.57,47.85,,,,,0.3
033113701600,,,"Structural concrete, placing, elevated slab, pumped, over 10"" thick, includes leveling (strike off) & consolidation, excludes material",C.Y.,C20,180.00,0.356,,10.75,7.10,17.85,25.51,,,,,0.3
033113701650,,,"Structural concrete, placing, elevated slab, with crane and bucket, over 10"" thick, includes leveling (strike off) & consolidation, excludes material",C.Y.,C7,130.00,0.554,,16.94,11.60,28.54,40.43,,,,,0.3
033113703510,,,"Structural concrete, placing, high rise, with crane and bucket, more than 5 stories, includes leveling (strike off) & consolidation, excludes material, add per story",C.Y.,C7,2100.00,0.034,,1.05,0.71,1.76,2.53,,,,,0.3
033113704900,,,"Structural concrete, placing, walls, direct chute, 8"" thick, includes leveling (strike off) & consolidation, excludes material",C.Y.,C6,90.00,0.533,,15.64,0.84,16.48,26.76,,,,,0.3
033113704950,,,"Structural concrete, placing, walls, pumped, 8"" thick, includes leveling (strike off) & consolidation, excludes material",C.Y.,C20,100.00,0.640,,19.38,12.74,32.12,45.86,,,,,0.3
033113705000,,,"Structural concrete, placing, walls, with crane and bucket, 8"" thick, includes leveling (strike off) & consolidation, excludes material",C.Y.,C7,80.00,0.900,,27.69,18.85,46.54,65.93,,,,,0.3
033113705100,,,"Structural concrete, placing, walls, pumped, 12"" thick, includes leveling (strike off) & consolidation, excludes material",C.Y.,C20,110.00,0.582,,17.58,11.60,29.18,41.81,,,,,0.3
033113705200,,,"Structural concrete, placing, walls, with crane and bucket, 12"" thick, includes leveling (strike off) & consolidation, excludes material",C.Y.,C7,90.00,0.800,,24.46,16.79,41.25,58.58,,,,,0.3
033113705350,,,"Structural concrete, placing, walls, pumped, 15"" thick, includes leveling (strike off) & consolidation, excludes material",C.Y.,C20,120.00,0.533,,16.11,10.67,26.78,37.98,,,,,0.3
033113705400,,,"Structural concrete, placing, walls, with crane and bucket, 15"" thick, includes leveling (strike off) & consolidation, excludes material",C.Y.,C7,95.00,0.758,,23.08,15.87,38.95,55.73,,,,,0.3
033513300200,,,"Concrete finishing, fresh concrete flatwork, floors, basic finishing for unspecified flatwork, bull float, manual float & manual steel trowel, excl placing, striking off & consolidating",S.F.,C10,1265.00,0.019,,0.61,,0.61,1.00,,,,,0.3
033513300250,,,"Concrete finishing, specified Random Access Floors ACI Classes 1, 2, 3 & 4, for Composite Overall Floor Flatness & Levelness to FF35/FL25, bull float, machine float & steel trowel (walk-behind), excl placing, striking off & consolidating",S.F.,C10C,1715.00,0.014,,0.45,0.03,0.48,0.77,,,,,0.3
033529600050,,,"Concrete finishing, walls, burlap rub with grout, includes breaking ties and patching voids",S.F.,1 Cefi,450.00,0.018,0.04,0.61,,0.65,1.05,,,,,0.3
033529600600,,,"Concrete finishing, walls, float finish, 1/16"" thick",S.F.,1 Cefi,300.00,0.027,0.43,0.91,,1.34,1.95,,,,,0.3
033713300020,,,"Gunite, dry mix, applied in layers, 1"" thick, excludes reinforcing mesh",S.F.,C16,2000.00,0.028,0.44,0.88,0.27,1.59,2.23,,,,,0.3
033713300900,,,"Gunite, preparation of old walls, excludes scaffolding, good condition",S.F.,C10,1000.00,0.024,,0.78,,0.78,1.26,,,,,0.3
033913500100,,,"Curing, burlap, 10 oz., 4 uses assumed",C.S.F.,2 Clab,55.00,0.291,30.50,8.17,,38.67,47.30,,,,,0.3
036305101535,,,"Chemical anchoring, for fastener 1"" diam x 8"" embedment, incl epoxy cartridge, excl layout, drilling & fastener",Ea.,2 Skwk,66.00,0.242,8.35,8.98,,17.33,24.16,,,,,0.3
036423000000,,Steve best guess no info in RSMeans,"Concrete resurfacing, epoxy injection grouting",C.F.,,0.00,0.5,75,150,,1,1,,,,,0.3
038113500500,,,"Concrete sawing, concrete slabs, rod reinforced, up to 3"" deep, includes blade cost, layout and set up time",L.F.,B89,800.00,0.020,0.19,0.66,0.81,1.66,2.21,,,,,0.3
038113500520,,,"Concrete sawing, concrete, existing slab, rod reinforced, for each additional inch of depth over 3"", includes blade cost, layout and set up time",L.F.,B89,2400.00,0.007,0.06,0.22,0.27,0.55,0.75,,,,,0.3
038116500820,,,"Concrete sawing, concrete walls, rod reinforcing, per inch of depth",L.F.,B89B,150.00,0.107,0.06,3.66,6.65,10.37,13.43,,,,,0.3
038216100700,,,"Concrete impact drilling, for anchors, up to 4"" D, 1"" dia, in concrete or brick walls and floors, includes bit cost, layout and set up time, excl anchor",Ea.,1 Carp,40.00,0.200,0.18,7.29,,7.47,12.23,,,,,0.3
050505100230,,,"Structural members, remove whole or cut up, up to 500 lb.",Ea.,E19,48.00,0.500,,30.75,25.76,56.51,76.39,,,,,0.3
050505100240,,,1/4-2 tons,Ea.,E18,36.00,1.111,,69.88,34.15,104.03,147.83,,,,,0.3
050505100250,,,2-5 tons,Ea.,E24,30.00,1.067,,66.52,27.61,94.13,135.12,,,,,0.3
050505100260,,,5-10 tons,Ea.,E20,24.00,2.667,,165.46,78.27,243.73,346.58,,,,,0.3
050505100270,,,10-15 tons,Ea.,E2,18.00,3.111,,193.41,134.47,327.88,450.97,,,,,0.3
050505100500,,,"Steel roof decking, uncovered, bare",S.F.,B2,5000.00,0.008,,0.37,,0.37,0.56,,,,,0.3
051223176800,,,"W Shape, A992 steel, 2 tier, W8 x 24",L.F.,E2,1080.00,0.052,40.25,3.16,2.23,45.64,51.69,,,,,0.3
051223176850,,,"W Shape, A992 steel, 2 tier, W8 x 31",L.F.,E2,1080.00,0.052,51.75,3.16,2.23,57.14,64.34,,,,,0.3
051223176900,,,"W Shape, A992 steel, 2 tier, W8 x 48",L.F.,E2,1032.00,0.054,80.50,3.30,2.35,86.15,96.31,,,,,0.3
051223176950,,,"W Shape, A992 steel, 2 tier, W8 x 67",L.F.,E2,984.00,0.057,112.13,3.46,2.46,118.05,131.19,,,,,0.3
051223177000,,,"W Shape, A992 steel, 2 tier, W10 x 45",L.F.,E2,1032.00,0.054,75.33,3.30,2.35,80.98,90.56,,,,,0.3
051223177050,,,"W Shape, A992 steel, 2 tier, W10 x 68",L.F.,E2,984.00,0.057,113.85,3.46,2.46,119.77,133.49,,,,,0.3
051223177100,,,"W Shape, A992 steel, 2 tier, W10 x 112",L.F.,E2,960.00,0.058,187.45,3.55,2.52,193.52,214.21,,,,,0.3
051223177150,,,"W Shape, A992 steel, 2 tier, W12 x 50",L.F.,E2,1032.00,0.054,83.38,3.30,2.35,89.03,99.76,,,,,0.3
051223177200,,,"W Shape, A992 steel, 2 tier, W12 x 87",L.F.,E2,984.00,0.057,144.90,3.46,2.46,150.82,167.99,,,,,0.3
051223177250,,,"W Shape, A992 steel, 2 tier, W12 x 120",L.F.,E2,960.00,0.058,200.10,3.55,2.52,206.17,229.16,,,,,0.3
051223177300,,,"W Shape, A992 steel, 2 tier, W12 x 190",L.F.,E2,912.00,0.061,317.40,3.74,2.65,323.79,359.53,,,,,0.3
051223177350,,,"W Shape, A992 steel, 2 tier, W14 x 74",L.F.,E2,984.00,0.057,124.20,3.46,2.46,130.12,143.84,,,,,0.3
051223177400,,,"W Shape, A992 steel, 2 tier, W14 x 120",L.F.,E2,960.00,0.058,200.10,3.55,2.52,206.17,229.16,,,,,0.3
051223177450,,,"W Shape, A992 steel, 2 tier, W14 x 176",L.F.,E2,912.00,0.061,294.40,3.74,2.65,300.79,331.93,,,,,0.3
053113505100,,,"Metal floor decking, steel, non-cellular, composite, galvanized, 1-1/2"" D, 16 gauge",S.F.,E4,3500.00,0.009,6.32,0.59,0.04,6.95,7.91,,,,,0.3
053113505120,,,"Metal floor decking, steel, non-cellular, composite, galvanized, 1-1/2"" D, 18 gauge",S.F.,E4,3650.00,0.009,4.53,0.57,0.04,5.14,5.91,,,,,0.3
053113505140,,,"Metal floor decking, steel, non-cellular, composite, galvanized, 1-1/2"" D, 20 gauge",S.F.,E4,3800.00,0.008,4.62,0.55,0.04,5.21,5.99,,,,,0.3
053113505200,,,"Metal floor decking, steel, non-cellular, composite, galvanized, 2"" D, 22 gauge",S.F.,E4,3860.00,0.008,3.11,0.54,0.03,3.68,4.32,,,,,0.3
053113505300,,,"Metal floor decking, steel, non-cellular, composite, galvanized, 2"" D, 20 gauge",S.F.,E4,3600.00,0.009,4.44,0.57,0.04,5.05,5.83,,,,,0.3
